id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
25;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
38;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
89;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
111;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
16;Doutorado;PPGE;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
175;Mestrado;PPE;UERJ;Peixes;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
177;Mestrado;PPE;UERJ;Peixes;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
222;PosDoc;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
98;PosDoc;PPGE;UFRJ;Vertebrados;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
179;PosDoc;PPGE;UFRJ;Limnologia;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
45;Professor;Dept Ecologia;UFRJ;Vertebrados;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
154;Professor;Dept Ecologia;UFRJ;Vertebrados;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
133;PosDoc;PPGE;UFRJ;Vertebrados;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
40;PosDoc;PPGE;UFRJ;Vertebrados;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
